UserId,Qtag,AnsweredDate,Top_user,QId
21,2.2-froyo|handcent-sms|notifications|sms,2010-09-13 19:19:23.200,21,2
27,2.2-froyo|handcent-sms|notifications|sms,2010-09-13 19:20:52.027,21,2
29,2.2-froyo|handcent-sms|notifications|sms,2010-09-13 19:21:30.790,21,2
10,root-access|rooting,2010-09-13 19:22:39.290,10,1
29,google-voice|notifications|sms,2010-09-13 19:23:35.370,29,11
30,task-management,2010-09-13 19:24:08.080,37,9
45,google-voice|notifications|sms,2010-09-13 19:24:34.223,29,11
43,task-management,2010-09-13 19:25:15.373,37,9
37,task-management,2010-09-13 19:25:21.200,37,9
45,standby|wi-fi,2010-09-13 19:25:50.040,45,16
21,2.2-froyo|clock|docking-station|motorola-droid,2010-09-13 19:26:11.793,21,17
52,contacts|sms,2010-09-13 19:28:17.350,16265,8
49,task-management,2010-09-13 19:31:01.400,37,9
31,apk|system-apps,2010-09-13 19:35:32.247,31,27
45,data-monitoring|roaming|settings,2010-09-13 19:35:51.857,45,36
9,applications|uninstallation,2010-09-13 19:35:59.407,36,39
50,data-monitoring|roaming|settings,2010-09-13 19:36:20.950,45,36
34,custom-roms|nexus-one,2010-09-13 19:36:39.380,34,40
45,applications|uninstallation,2010-09-13 19:37:00.980,36,39
47,data-monitoring|roaming|settings,2010-09-13 19:38:16.720,45,36
36,applications|uninstallation,2010-09-13 19:38:56.130,36,39
31,2.2-froyo|tethering|wi-fi,2010-09-13 19:39:42.160,45,43
68,applications|uninstallation,2010-09-13 19:39:52.737,36,39
47,apk|system-apps,2010-09-13 19:42:11.327,31,27
10,cyanogenmod|htc-dream|updates,2010-09-13 19:43:25.443,10,41
37,data-monitoring|resource-monitoring,2010-09-13 19:45:15.437,82,45
10,bloatware|nexus-one|root-access,2010-09-13 19:45:41.910,10,35
76,browser,2010-09-13 19:45:51.333,76,69
45,2.2-froyo|tethering|wi-fi,2010-09-13 19:47:12.690,45,43
82,data-monitoring|resource-monitoring,2010-09-13 19:50:50.880,82,45
63,apk|system-apps,2010-09-13 19:51:53.513,31,27
17,applications|google-play-store|paid-apps,2010-09-13 19:52:18.497,75,83
45,customization|settings,2010-09-13 19:53:05.220,45,82
10,camera|settings,2010-09-13 19:53:12.027,10,89
34,radio-firmware,2010-09-13 19:54:13.960,45,70
9,bluetooth|files,2010-09-13 19:54:35.457,4,85
4,bluetooth|files,2010-09-13 19:55:05.377,4,85
